#,weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
216,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,23,4,40 S&W,13,Yes,14,RIGHT SIDE (WAIST),STRONG SIDE DRAW,EMERGENCY RELOAD,true,SQUAD CAR,OVER 15FT,OBJECT,SITTING,98675
217,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98701
218,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98709
219,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98717
220,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,98731
221,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98738
222,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98750
223,TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,98754
224,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98756
225,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98759
226,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98768
227,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,21,4.75,45 CAL,1,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,GARBAGE CAN,OVER 15FT,UNKNOWN,OTHER (SPECIFY),98774
228,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98780
229,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98790
230,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98794
231,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98812
232,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98839
233,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98849
234,SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P229,4 IN, 9 MM,1,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,10-15FT,OBJECT,STANDING,98860
235,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98881
236,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98892
237,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98896
238,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98903
239,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98912
240,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98919
241,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98997
242,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99020
243,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99024
244,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99028
245,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99050
246,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99067
247,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,30,4, 45 ACP,4,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,VEHICLE,10-15FT,UNKNOWN,SITTING,99075
248,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,6,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,VEHICLE,10-15FT,UNKNOWN,SITTING,99078
249,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99082
250,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99103
251,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99107
252,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99110
253,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99111
254,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99116
255,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99117
256,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99118
257,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99119
258,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99129
259,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99133
260,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99151
261,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99153
262,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99167
263,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99198
264,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99206
265,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99232
266,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99262
267,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99300
268,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99302
269,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99322
270,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99325
271,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99346
272,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99348
273,TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,99360
274,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99364
275,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99396
276,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99399
277,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99418
278,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99432
279,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,99445
280,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99445
281,TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,99459
282,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99472
283,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99535
284,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99550
285,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99554
286,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,99584
287,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.5, 9 MM,10,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,CEMENT WALL,05-10FT,UNKNOWN,STANDING,99611
288,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.48, 9 MM,4,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,false,NONE,0-5FT,PERSON,STANDING,99612
289,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99614
290,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99624
291,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99625
292,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,99665
293,SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P229,4, 9 MM,5,No,,LEFT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE AVAILABLE,OVER 15FT,UNKNOWN,STANDING,99667
