#,weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
51,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96962
52,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96977
53,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96980
54,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96981
55,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96988
56,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97005
57,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97023
58,OTHER (SPECIFY),,,,,,,,,,,,,,,,,97035
59,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97047
60,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97048
61,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,1,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,N/A,false,DUTY HOLSTER,10-15FT,OBJECT,STANDING,97082
62,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97143
63,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97155
64,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97171
65,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97172
66,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97178
67,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97187
68,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97188
69,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97193
70,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97218
71,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97228
72,TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,97268
73,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97279
74,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97280
75,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97289
76,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97298
77,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97300
78,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97308
79,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97309
80,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97310
81,OTHER (SPECIFY),,,,,,,,,,,,,,,,,97311
82,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97311
83,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97329
84,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97335
85,OTHER (SPECIFY),,,,,,,,,,,,,,,,,97338
86,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97339
87,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97348
88,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97355
89,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97358
90,SEMI-AUTO PISTOL,"F.I. INDUSTRIES(FORMERLY) --US-- (BERETTA USA CORP,BRONCO)",,PX4 STORM,4, 9 MM,12,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,DEPARTMENT VEHICLE,OVER 15FT,BOTH,STANDING,97371
91,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97372
92,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97378
93,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97390
94,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97402
95,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4 INCH, 9 MM,1,No,,RIGHT SIDE (WAIST),OTHER (SPECIFY),,false,NONE,05-10FT,PERSON,STANDING,97444
96,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97455
97,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97512
98,TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,97517
99,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97517
100,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97521
101,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97568
102,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97582
103,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97590
104,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97603
105,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97632
106,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97634
107,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97640
108,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97647
109,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97660
110,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97665
111,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97667
112,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97669
